provider,source,id,name,future_programmes,future_hours,desc_pct,sample_title,sample_desc,suspicious_clone,clone_group_size,url
epgshare,AE1,Chada.TV.ae,Chada TV,204,84.0,100.0,BBC News,". The latest news from the BBC. Naga Munchetty, Ben Thompson, Joanna Gosling, Annita McVeigh, David Eades, Geeta Guru-Murthy, Maryam Moshiri, Emily Jung, Adnan Nawaz, Mike Embley, Sally Bundock, Alpa Patel.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Mazzika.ae,Mazzika,204,84.0,100.0,BBC News,". The latest news from the BBC. Naga Munchetty, Ben Thompson, Joanna Gosling, Annita McVeigh, David Eades, Geeta Guru-Murthy, Maryam Moshiri, Emily Jung, Adnan Nawaz, Mike Embley, Sally Bundock, Alpa Patel.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Rotana.Clip.ae,Rotana Clip,204,84.0,100.0,BBC News,". The latest news from the BBC. Naga Munchetty, Ben Thompson, Joanna Gosling, Annita McVeigh, David Eades, Geeta Guru-Murthy, Maryam Moshiri, Emily Jung, Adnan Nawaz, Mike Embley, Sally Bundock, Alpa Patel.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Rotana.Music.ae,Rotana Music,204,84.0,100.0,BBC News,". The latest news from the BBC. Naga Munchetty, Ben Thompson, Joanna Gosling, Annita McVeigh, David Eades, Geeta Guru-Murthy, Maryam Moshiri, Emily Jung, Adnan Nawaz, Mike Embley, Sally Bundock, Alpa Patel.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,saudiarabia5,OSNtv Kids.sa,OSNtv Kids.sa,204,40.3,100.0,Dino Pops,Dino Pops,False,1,https://www.open-epg.com/files/saudiarabia5.xml
openepg,qatar4,HGTV.qa,HGTV.qa,204,39.7,0.0,Arthur and The Minimoys EP 6 - Maltazard's offer,,False,1,https://www.open-epg.com/files/qatar4.xml
epgshare,AE1,Space.Toon.ae,Space Toon,201,84.0,100.0,Magic School Bus,Animation Ms. Frizzle takes her students in scientific trips by the magical school bus to impossible places like the solar system and the human body.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Jordan.TV.HD.ae,Jordan TV HD,189,84.0,100.0,Friday's Talks,Religion A retelling of the different stories and morals in Islamic religious events to clarify the importance of following the word of God in your day-to-day life. Ahmed Al Khalyla.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,saudiarabia1,Majid.sa,Majid.sa,189,40.3,100.0,أمونة المزيونة,أمونة المزيونة طفلة عمرها 7 سنوات ذكية ومتفوقة في مدرستها لكنها شقية... تحرص دائماً أن تكون نجمة الأسرة والمدرسة لخفة دمها وشخصيتها القيادية المميزة.,False,1,https://www.open-epg.com/files/saudiarabia1.xml
openepg,saudiarabia1,France 24.sa,France 24.sa,189,40.2,100.0,الأخبار,تغطية مباشرة للأخبار المحلية والعالمية مع التركيز على التطورات في العالم، وصولاً إلى عرض دقيق وتحليلات معمقة تهم المشاهدين.,False,1,https://www.open-epg.com/files/saudiarabia1.xml
