provider,source,id,name,future_programmes,future_hours,desc_pct,url,reason
epgshare,AE1,ar:.الشرق.للأخبار-.لايف.ae,ar: الشرق للأخبار- لايف,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.اي.اي.اس.ال.(ايست.ايشيا.سوبر.ليغ.2025-2026).ae,ar: اي اي اس ال (ايست ايشيا سوبر ليغ 2025-2026),0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.جولف.لايف.ae,ar: جولف لايف,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.راديو.1.ae,ar: راديو 1,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.راديو.2.ae,ar: راديو 2,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.زي.أفلام.-.مباشر.ae,ar: زي أفلام - مباشر,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.زي.ألوان.-.البث.المباشر.ae,ar: زي ألوان - البث المباشر,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.ستار.إف.إم.ae,ar: ستار إف إم,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.ستارز.بلاي.كلاسيكز.ae,ar: ستارز بلاي كلاسيكز,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.ستارزبلاي.كريكيت.2.ae,ar: ستارزبلاي كريكيت 2,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.سكاي.نيوز.عربية.-.مباشر.ae,ar: سكاي نيوز عربية - مباشر,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.سما.دبي.ae,ar: سما دبي,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.سي.إن.بي.سي.عربية.-.مباشر.ae,ar: سي إن بي سي عربية - مباشر,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.سي.جي.تي.إن.ae,ar: سي جي تي إن,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.عناوين.أخبار.سي.إن.إن.ae,ar: عناوين أخبار سي إن إن,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.غامبول.باي.دبليو.بي.تي.في.ae,ar: غامبول باي دبليو بي تي في,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.أبوظبي.ae,ar: قناة أبوظبي,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.إنديا.توداي.التلفزيونية.ae,ar: قناة إنديا توداي التلفزيونية,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.إي.آر.واي.ديجيتال.ae,ar: قناة إي آر واي ديجيتال,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.الإمارات.ae,ar: قناة الإمارات,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.العربية.-.مباشر.ae,ar: قناة العربية - مباشر,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.القرآن.الكريم.ae,ar: قناة القرآن الكريم,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.بينونة.ae,ar: قناة بينونة,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.جيو.ae,ar: قناة جيو,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.ماجد.ae,ar: قناة ماجد,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.قناة.ياس.ae,ar: قناة ياس,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.ك-دراما+.ae,ar: ك-دراما+,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.كاريم.نيسارام-مباشر.ae,ar: كاريم نيسارام-مباشر,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.كدك.إف.إم.ae,ar: كدك إف إم,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.كيوريوسيتي.ستريم.ae,ar: كيوريوسيتي ستريم,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.ناشيونال.جيوغرافيك.أبوظبي.ae,ar: ناشيونال جيوغرافيك أبوظبي,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.ويدوسبورتس.مينا.ae,ar: ويدوسبورتس مينا,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,ar:.يونبيتن.سبورتس.ae,ar: يونبيتن سبورتس,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Aryen.TV.ae,Aryen TV,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Atfal.&.Mawaheb.ae,Atfal & Mawaheb,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,AWE.ae,AWE,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
