canonical,winner_provider,winner_source,winner_id,winner_name,future_programmes,future_hours,desc_pct,rank_score,alternatives_count,alternatives,decision
alrasheed eg,openepg,egypt2,Alrasheed.eg,Alrasheed.eg,42,40.7,9.5,102.8,0,,UNIQUE
bein sports4 digital qa,openepg,qatar3,beIN SPORTS4 DIGITAL.qa,beIN SPORTS4 DIGITAL.qa,18,60.7,0.0,102.55,1,openepg:qatar2:beIN SPORTS4 DIGITAL.qa:65.4,WINNER_OF_DUPLICATES
bein sports66 digital 01 qa,openepg,qatar3,beIN SPORTS66 DIGITAL -01.qa,beIN SPORTS66 DIGITAL -01.qa,17,60.7,0.0,101.84,0,,UNIQUE
dubai racing,epgshare,AE1,Dubai.Racing.ae,Dubai Racing,24,60.0,0.0,101.8,0,,UNIQUE
0003 tci colour blue uk2016 qa,openepg,qatar5,0003 TCI colour-Blue UK2016.qa,0003 TCI colour-Blue UK2016.qa,61,37.8,0.0,101.73,1,openepg:qatar4:0003 TCI colour-Blue UK2016.qa:100.49,WINNER_OF_DUPLICATES
bein sports1 digital mono en,epgshare,BEIN1,beIN_SPORTS1_DIGITAL_Mono_EN.bein,beIN_SPORTS1_DIGITAL_Mono_EN,27,58.2,0.0,101.47,0,,UNIQUE
bein sports4 digital mono ar,epgshare,BEIN1,beIN_SPORTS4_DIGITAL_Mono_AR.bein,beIN_SPORTS4_DIGITAL_Mono_AR,26,58.7,0.0,101.45,0,,UNIQUE
bein sports4 digital mono en,epgshare,BEIN1,beIN_SPORTS4_DIGITAL_Mono_EN.bein,beIN_SPORTS4_DIGITAL_Mono_EN,24,59.2,0.0,100.72,0,,UNIQUE
عَمان eg,openepg,egypt1,عَمان.eg,عَمان.eg,36,37.2,8.3,100.55,0,,UNIQUE
bein sports5 digital mono en,epgshare,BEIN1,beIN_SPORTS5_DIGITAL_Mono_EN.bein,beIN_SPORTS5_DIGITAL_Mono_EN,26,57.7,0.0,100.1,0,,UNIQUE
logos beinsports9 en,epgshare,BEIN1,logos-_beINSPORTS9_EN.bein,logos-_beINSPORTS9_EN,16,61.7,0.0,98.5,0,,UNIQUE
news digital qa,openepg,qatar2,NEWS DIGITAL.qa,NEWS DIGITAL.qa,58,36.7,0.0,98.15,1,openepg:qatar3:NEWS DIGITAL.qa:43.34,WINNER_OF_DUPLICATES
bbcearth new 200x200 qa,openepg,qatar4,BBCEarth-new 200x200.qa,BBCEarth-new 200x200.qa,56,37.7,0.0,98.09,1,openepg:qatar5:BBCEarth-new 200x200.qa:93.03,WINNER_OF_DUPLICATES
amman eg,openepg,egypt2,Amman.eg,Amman.eg,38,40.2,7.9,97.56,0,,UNIQUE
fatafeat 1 qa,openepg,qatar5,FATAFEAT-1.qa,FATAFEAT-1.qa,53,38.3,0.0,96.8,1,openepg:qatar4:FATAFEAT-1.qa:95.03,WINNER_OF_DUPLICATES
bein sports6 digital mono d 1 ar,epgshare,BEIN1,beIN_SPORTS6_DIGITAL_Mono-d-1_AR.bein,beIN_SPORTS6_DIGITAL_Mono-d-1_AR,21,57.7,0.0,96.6,0,,UNIQUE
logos beinsports8 en,epgshare,BEIN1,logos-_beINSPORTS8_EN.bein,logos-_beINSPORTS8_EN,11,62.7,0.0,96.35,0,,UNIQUE
bein sports3 digital mono en,epgshare,BEIN1,beIN_SPORTS3_DIGITAL_Mono_EN.bein,beIN_SPORTS3_DIGITAL_Mono_EN,20,57.7,0.0,95.9,0,,UNIQUE
sada el balad 2 eg,openepg,egypt2,Sada El Balad 2.eg,Sada El Balad 2.eg,35,41.7,5.7,95.07,0,,UNIQUE
bejunior qa,openepg,qatar4,beJUNIOR.qa,beJUNIOR.qa,51,37.9,0.0,94.86,0,,UNIQUE
star world 2024 200x200 1 qa,openepg,qatar5,Star World 2024-200x200-1.qa,Star World 2024-200x200-1.qa,51,37.9,0.0,94.86,1,openepg:qatar4:Star World 2024-200x200-1.qa:80.55,WINNER_OF_DUPLICATES
دجلة eg,openepg,egypt1,دجلة.eg,دجلة.eg,37,36.7,2.7,94.42,0,,UNIQUE
صدى البلد 2 eg,openepg,egypt1,صدى البلد 2.eg,صدى البلد 2.eg,31,36.7,6.5,94.4,0,,UNIQUE
bloomberg 1 qa,openepg,qatar4,Bloomberg-1.qa,Bloomberg-1.qa,50,38.0,0.0,94.3,1,openepg:qatar5:Bloomberg-1.qa:94.3,WINNER_OF_DUPLICATES
dijlah eg,openepg,egypt2,Dijlah TV.eg,Dijlah TV.eg,41,40.7,2.4,94.29,0,,UNIQUE
bein sports2 digital mono en,epgshare,BEIN1,beIN_SPORTS2_DIGITAL_Mono_EN.bein,beIN_SPORTS2_DIGITAL_Mono_EN,11,60.7,0.0,93.65,0,,UNIQUE
food network logo 2018 1 qa,openepg,qatar5,food-network-logo-2018-1.qa,food-network-logo-2018-1.qa,48,38.2,0.0,93.17,1,openepg:qatar4:food-network-logo-2018-1.qa:91.39,WINNER_OF_DUPLICATES
bein sports1 english digital mono en,epgshare,BEIN1,beIN_SPORTS1_ENGLISH_Digital_Mono_EN.bein,beIN_SPORTS1_ENGLISH_Digital_Mono_EN,15,58.2,0.0,93.07,0,,UNIQUE
bein com 05 qa,openepg,qatar2,bein.com-05.qa,bein.com-05.qa,49,36.7,0.0,91.84,1,openepg:qatar3:bein.com-05.qa:36.34,WINNER_OF_DUPLICATES
bein com 07 qa,openepg,qatar2,bein.com-07.qa,bein.com-07.qa,49,36.7,0.0,91.84,1,openepg:qatar3:bein.com-07.qa:33.55,WINNER_OF_DUPLICATES
aljazeera documentary 1 qa,openepg,qatar4,Aljazeera-Documentary-1.qa,Aljazeera-Documentary-1.qa,47,37.7,0.0,91.8,0,,UNIQUE
bein sports7 digital mono en,epgshare,BEIN1,beIN_SPORTS7_DIGITAL_Mono_EN.bein,beIN_SPORTS7_DIGITAL_Mono_EN,12,58.7,0.0,91.65,0,,UNIQUE
