canonical,winner_provider,winner_source,winner_id,winner_name,future_programmes,future_hours,desc_pct,rank_score,alternatives_count,alternatives,decision
bein sports2 digital qa,openepg,qatar2,beIN SPORTS2 DIGITAL.qa,beIN SPORTS2 DIGITAL.qa,16,36.7,0.0,68.75,1,openepg:qatar3:beIN SPORTS2 DIGITAL.qa:32.09,WINNER_OF_DUPLICATES
bein com 06 qa,openepg,qatar2,bein.com-06.qa,bein.com-06.qa,3,42.5,0.0,67.48,1,openepg:qatar3:bein.com-06.qa:33.55,WINNER_OF_DUPLICATES
bein sports1 digital mono ar,epgshare,BEIN1,beIN_SPORTS1_DIGITAL_Mono_AR.bein,beIN_SPORTS1_DIGITAL_Mono_AR,24,34.2,0.0,66.97,0,,UNIQUE
bein sports7 digital mono ar,epgshare,BEIN1,beIN_SPORTS7_DIGITAL_Mono_AR.bein,beIN_SPORTS7_DIGITAL_Mono_AR,15,37.5,0.0,65.12,0,,UNIQUE
alkass 5 en,epgshare,BEIN1,Alkass_5_EN.bein,Alkass_5_EN,22,33.7,0.0,64.9,0,,UNIQUE
alkass 7 en,epgshare,BEIN1,Alkass_7_EN.bein,Alkass_7_EN,22,33.7,0.0,64.9,0,,UNIQUE
logos beinsports9 ar,epgshare,BEIN1,logos-_beINSPORTS9_AR.bein,logos-_beINSPORTS9_AR,10,38.7,0.0,63.25,0,,UNIQUE
alkass 4 en,epgshare,BEIN1,Alkass_4_EN.bein,Alkass_4_EN,19,33.7,0.0,62.8,0,,UNIQUE
bein sports5 digital mono ar,epgshare,BEIN1,beIN_SPORTS5_DIGITAL_Mono_AR.bein,beIN_SPORTS5_DIGITAL_Mono_AR,17,33.7,0.0,61.4,0,,UNIQUE
bein sports2 digital mono ar,epgshare,BEIN1,beIN_SPORTS2_DIGITAL_Mono_AR.bein,beIN_SPORTS2_DIGITAL_Mono_AR,9,37.7,0.0,61.2,0,,UNIQUE
bein sports2 english digital mono ar,epgshare,BEIN1,beIN_SPORTS2_ENGLISH_Digital_Mono_AR.bein,beIN_SPORTS2_ENGLISH_Digital_Mono_AR,9,35.8,0.0,58.63,0,,UNIQUE
bein sports fta digital mono ar,epgshare,BEIN1,bein_SPORTS_FTA_DIGITAL_Mono_AR.bein,bein_SPORTS_FTA_DIGITAL_Mono_AR,6,36.7,0.0,57.75,0,,UNIQUE
logos beinsports8 ar,epgshare,BEIN1,logos-_beINSPORTS8_AR.bein,logos-_beINSPORTS8_AR,5,37.2,0.0,57.72,0,,UNIQUE
4k digital mono ar,epgshare,BEIN1,4k_DIGITAL_Mono_AR.bein,4k_DIGITAL_Mono_AR,7,33.7,0.0,54.4,0,,UNIQUE
ناشيونال جيوجرافيك eg,openepg,egypt1,ناشيونال جيوجرافيك.eg,ناشيونال جيوجرافيك.eg,7,4.7,14.3,42.98,0,,UNIQUE
afc 4 qa,openepg,qatar3,AFC 4.qa,AFC 4.qa,12,12.7,0.0,33.55,0,,UNIQUE
afc 5 qa,openepg,qatar3,AFC 5.qa,AFC 5.qa,12,12.7,0.0,33.55,0,,UNIQUE
afc 6 8 copy qa,openepg,qatar3,afc-6 8-copy.qa,afc-6 8-copy.qa,6,13.7,0.0,30.7,0,,UNIQUE
bein sports max1 digital qa,openepg,qatar3,beIN SPORTS MAX1 DIGITAL.qa,beIN SPORTS MAX1 DIGITAL.qa,6,13.7,0.0,30.7,0,,UNIQUE
bein sports max2 digital qa,openepg,qatar3,beIN SPORTS MAX2 DIGITAL.qa,beIN SPORTS MAX2 DIGITAL.qa,6,13.7,0.0,30.7,0,,UNIQUE
bein sports max3 digital qa,openepg,qatar3,beIN SPORTS MAX3 DIGITAL.qa,beIN SPORTS MAX3 DIGITAL.qa,6,13.7,0.0,30.7,0,,UNIQUE
bein sports max4 digital qa,openepg,qatar3,beIN SPORTS MAX4 DIGITAL.qa,beIN SPORTS MAX4 DIGITAL.qa,6,13.7,0.0,30.7,0,,UNIQUE
bein sports max5 digital qa,openepg,qatar3,beIN SPORTS MAX5 DIGITAL.qa,beIN SPORTS MAX5 DIGITAL.qa,6,13.7,0.0,30.7,0,,UNIQUE
ديسكفري eg,openepg,egypt1,ديسكفري.eg,ديسكفري.eg,8,5.5,0.0,29.02,0,,UNIQUE
alkass 1 en,epgshare,BEIN1,Alkass_1_EN.bein,Alkass_1_EN,11,9.7,0.0,24.8,0,,UNIQUE
alkass 4 ar,epgshare,BEIN1,Alkass_4_AR.bein,Alkass_4_AR,11,9.7,0.0,24.8,0,,UNIQUE
alkass 8 ar,epgshare,BEIN1,Alkass_8_AR.bein,Alkass_8_AR,11,9.7,0.0,24.8,0,,UNIQUE
alkass 8 en,epgshare,BEIN1,Alkass_8_EN.bein,Alkass_8_EN,11,9.7,0.0,24.8,0,,UNIQUE
alkass 2 en,epgshare,BEIN1,Alkass_2_EN.bein,Alkass_2_EN,10,9.7,0.0,24.09,0,,UNIQUE
alkass 5 ar,epgshare,BEIN1,Alkass_5_AR.bein,Alkass_5_AR,9,9.7,0.0,23.39,0,,UNIQUE
alkass 7 ar,epgshare,BEIN1,Alkass_7_AR.bein,Alkass_7_AR,9,9.7,0.0,23.39,0,,UNIQUE
alkass 6 ar,epgshare,BEIN1,Alkass_6_AR.bein,Alkass_6_AR,8,9.7,0.0,22.7,0,,UNIQUE
alkass 6 en,epgshare,BEIN1,Alkass_6_EN.bein,Alkass_6_EN,8,9.7,0.0,22.7,0,,UNIQUE
bein sports2 french digital mono ar,epgshare,BEIN1,beIN_SPORTS2_FRENCH_Digital_Mono_AR.bein,beIN_SPORTS2_FRENCH_Digital_Mono_AR,8,9.7,0.0,22.7,0,,UNIQUE
bein sports2 french digital mono en,epgshare,BEIN1,beIN_SPORTS2_FRENCH_Digital_Mono_EN.bein,beIN_SPORTS2_FRENCH_Digital_Mono_EN,8,9.7,0.0,22.7,0,,UNIQUE
bein sports1 french digital mono ar,epgshare,BEIN1,beIN_SPORTS1_FRENCH_Digital_Mono_AR.bein,beIN_SPORTS1_FRENCH_Digital_Mono_AR,6,9.7,0.0,21.3,0,,UNIQUE
bein sports1 french digital mono en,epgshare,BEIN1,beIN_SPORTS1_FRENCH_Digital_Mono_EN.bein,beIN_SPORTS1_FRENCH_Digital_Mono_EN,6,9.7,0.0,21.3,0,,UNIQUE
discovery eg,openepg,egypt2,Discovery.eg,Discovery.eg,8,5.5,0.0,21.02,0,,UNIQUE
new bein sports max 05 ar,epgshare,BEIN1,NEW_beIN-SPORTS-MAX-05_AR.bein,NEW_beIN-SPORTS-MAX-05_AR,5,9.7,0.0,20.59,0,,UNIQUE
new bein sports max 06 ar,epgshare,BEIN1,NEW_beIN-SPORTS-MAX-06_AR.bein,NEW_beIN-SPORTS-MAX-06_AR,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max1 digital mono ar,epgshare,BEIN1,beIN_SPORTS_MAX1_DIGITAL_Mono_AR.bein,beIN_SPORTS_MAX1_DIGITAL_Mono_AR,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max1 digital mono en,epgshare,BEIN1,beIN_SPORTS_MAX1_DIGITAL_Mono_EN.bein,beIN_SPORTS_MAX1_DIGITAL_Mono_EN,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max2 digital mono ar,epgshare,BEIN1,beIN_SPORTS_MAX2_DIGITAL_Mono_AR.bein,beIN_SPORTS_MAX2_DIGITAL_Mono_AR,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max2 digital mono en,epgshare,BEIN1,beIN_SPORTS_MAX2_DIGITAL_Mono_EN.bein,beIN_SPORTS_MAX2_DIGITAL_Mono_EN,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max3 digital mono ar,epgshare,BEIN1,beIN_SPORTS_MAX3_DIGITAL_Mono_AR.bein,beIN_SPORTS_MAX3_DIGITAL_Mono_AR,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max3 digital mono en,epgshare,BEIN1,beIN_SPORTS_MAX3_DIGITAL_Mono_EN.bein,beIN_SPORTS_MAX3_DIGITAL_Mono_EN,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max4 digital mono ar,epgshare,BEIN1,beIN_SPORTS_MAX4_DIGITAL_Mono_AR.bein,beIN_SPORTS_MAX4_DIGITAL_Mono_AR,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max4 digital mono en,epgshare,BEIN1,beIN_SPORTS_MAX4_DIGITAL_Mono_EN.bein,beIN_SPORTS_MAX4_DIGITAL_Mono_EN,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max5 digital mono en,epgshare,BEIN1,beIN_SPORTS_MAX5_DIGITAL_Mono_EN.bein,beIN_SPORTS_MAX5_DIGITAL_Mono_EN,5,9.7,0.0,20.59,0,,UNIQUE
bein sports max6 digital mono en,epgshare,BEIN1,beIN_SPORTS_MAX6_DIGITAL_Mono_EN.bein,beIN_SPORTS_MAX6_DIGITAL_Mono_EN,5,9.7,0.0,20.59,0,,UNIQUE
national geographic eg,openepg,egypt2,National Geographic.eg,National Geographic.eg,7,4.7,0.0,19.25,0,,UNIQUE
