canonical,winner_id,winner_name,provider,source,audit1_local_arabic,audit2_cross_source_arabic,audit3_alias_arabic,audit4_content_arabic_pct,english_candidate,decision
الشروق الجزائرية,الشروق الجزائرية.eg,الشروق الجزائرية.eg,openepg,egypt1,True,True,True,95.8,False,ARABIC_SELECTED
إل بي سي آي,إل بي سي آي.eg,إل بي سي آي.eg,openepg,egypt1,True,True,True,59.4,False,ARABIC_SELECTED
alhayat,الحياة.eg,الحياة.eg,openepg,egypt1,True,True,True,90.9,False,ARABIC_SELECTED
نسمة,نسمة.eg,نسمة.eg,openepg,egypt1,True,True,True,94.7,False,ARABIC_SELECTED
sada el balad,صدى البلد.eg,صدى البلد.eg,openepg,egypt1,True,True,True,98.6,False,ARABIC_SELECTED
alsaeedah,AlSaeedah.eg,AlSaeedah.eg,openepg,egypt2,True,True,True,35.3,False,ARABIC_SELECTED
الشرقية,الشرقية.eg,الشرقية.eg,openepg,egypt1,True,True,True,86.7,False,ARABIC_SELECTED
al kahera wal nas 2,القاهرة والناس 2.eg,القاهرة والناس 2.eg,openepg,egypt1,True,True,True,98.5,False,ARABIC_SELECTED
nile life,نايل لايف.eg,نايل لايف.eg,openepg,egypt1,True,True,True,92.6,False,ARABIC_SELECTED
تن,تن.eg,تن.eg,openepg,egypt1,True,True,True,88.2,False,ARABIC_SELECTED
السعيدة,السعيدة.eg,السعيدة.eg,openepg,egypt1,True,True,True,86.7,False,ARABIC_SELECTED
alsumaria,السومرية.eg,السومرية.eg,openepg,egypt1,True,True,True,90.0,False,ARABIC_SELECTED
المصرية,المصرية.eg,المصرية.eg,openepg,egypt1,True,True,True,99.2,False,ARABIC_SELECTED
bloomberg originals,Bloomberg Originals.sa,Bloomberg Originals.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
c and i,C And I.sa,C And I.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
history,History HD.sa,History HD.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
al kahera wal nas,القاهرة والناس.eg,القاهرة والناس.eg,openepg,egypt1,True,True,True,92.9,False,ARABIC_SELECTED
يو تي في,يو تي في.eg,يو تي في.eg,openepg,egypt1,True,True,True,84.6,False,ARABIC_SELECTED
utv,Utv.eg,Utv.eg,openepg,egypt2,True,True,True,50.0,False,ARABIC_SELECTED
al araby,Al Araby TV.sa,Al Araby TV.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
h2,H2 HD.sa,H2 HD.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
alrasheed,الرشيد.eg,الرشيد.eg,openepg,egypt1,True,True,True,93.1,False,ARABIC_SELECTED
al jadeed,الجديد.eg,الجديد.eg,openepg,egypt1,True,True,True,90.7,False,ARABIC_SELECTED
bejunior,beJUNIOR.qa,beJUNIOR.qa,openepg,qatar4,True,True,True,63.0,False,ARABIC_SELECTED
bloomberg 1,Bloomberg-1.qa,Bloomberg-1.qa,openepg,qatar4,False,True,True,0.0,True,ENGLISH_REJECTED_ARABIC_AVAILABLE
discovery idx,Discovery IDX HD.sa,Discovery IDX HD.sa,openepg,saudiarabia5,False,False,False,0.0,True,ENGLISH_ACCEPTED_AFTER_4_AUDITS
mehwar,المحور.eg,المحور.eg,openepg,egypt1,True,True,True,91.7,False,ARABIC_SELECTED
dmc,دي إم سي.eg,دي إم سي.eg,openepg,egypt1,True,True,True,87.5,False,ARABIC_SELECTED
sada el balad 2,صدى البلد 2.eg,صدى البلد 2.eg,openepg,egypt1,True,True,True,91.3,False,ARABIC_SELECTED
on drama,أون دراما.eg,أون دراما.eg,openepg,egypt1,True,True,True,98.6,False,ARABIC_SELECTED
dmc drama,دي إم سي دراما.eg,دي إم سي دراما.eg,openepg,egypt1,True,True,True,98.9,False,ARABIC_SELECTED
ذكريات,ذكريات.eg,ذكريات.eg,openepg,egypt1,True,True,True,93.1,False,ARABIC_SELECTED
إم تي في,إم تي في.eg,إم تي في.eg,openepg,egypt1,True,True,True,84.6,False,ARABIC_SELECTED
الثانية,الثانية.eg,الثانية.eg,openepg,egypt1,True,True,True,98.9,False,ARABIC_SELECTED
on e,أون إي.eg,أون إي.eg,openepg,egypt1,True,True,True,86.7,False,ARABIC_SELECTED
العراقية,العراقية.eg,العراقية.eg,openepg,egypt1,True,True,True,90.5,False,ARABIC_SELECTED
alaraby 2,Alaraby TV 2.eg,Alaraby TV 2.eg,openepg,egypt2,True,True,True,65.6,False,ARABIC_SELECTED
عَمان,عَمان.eg,عَمان.eg,openepg,egypt1,True,True,True,90.5,False,ARABIC_SELECTED
amman,Amman TV.sa,Amman TV.sa,openepg,saudiarabia1,True,True,True,93.1,False,ARABIC_SELECTED
تلفزيون حضرموت,تلفزيون حضرموت.eg,تلفزيون حضرموت.eg,openepg,egypt1,True,True,True,90.0,False,ARABIC_SELECTED
دجلة,دجلة.eg,دجلة.eg,openepg,egypt1,True,True,True,90.5,False,ARABIC_SELECTED
