provider,source,id,name,future_programmes,future_hours,desc_pct,sample_title,sample_desc,url
epgshare,AE1,MBC.Action.ae,MBC Action,121,85.0,100.0,Police 24/7,"Showcasing the close collaboration between field officers and the South Wales Police in numerous operations, striving to maintain security and ensure public safety around the clock. While confronting professional criminals, they also encounter some intriguing situations. Stijn Bakkers.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,MBC.Bollywood.ae,MBC Bollywood,82,85.0,100.0,Love By Force,"Naitik and Akshara are forced to marry, while love brings Kartik and Naira together, revealing the difference between love-based relationships and forced marriage. Hina Khan, Karan Mehra.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,MBC.Masr.HD.ae,MBC Masr HD,73,85.0,100.0,The Mid Class Abiad Man,"Zaghlol tries his best to earn money and marry his beloved, but he fails. When he decides to steal a wealthy businessman to use the money and invent some things useful for people, he finds himself running away with him in a remote place in the desert. Ahmed Adam, Somaya Al Khashab, Ezzat Abu Aouf, Maged Al Kedwany, Mahmoud El Bezzawy, Sherif Mandor, Ahmed Al Beih.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Sama.Dubai.HD.ae,Sama Dubai HD,87,85.0,100.0,'Ozobi Al Salemia,"Due to his extravagance and recklessness, Helal Hajji accumulates debts and is chased by debtors. But he falls in love with the rich girl, Amira, who he later discovers is his friend's fiancée. Abd Al Hussein Abd Al Reda , Soad AbdAllah, Mohamed Al Mansour, Mohamed Gaber, Saleh Hamad, Faisal El Dahy, Ahmed Abd El Halim, Abd Al Hussein Abd Al Reda , Abd Al Hussein Abd Al Reda, Soad Abd Allah, Abdel Hussein Abdel Reda.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Dubai.One.HD.ae,Dubai One HD,56,85.0,100.0,The Peanut Butter Falcon,"On the run from his nursing home, Zak, a man with Down syndrome, follows his dream of wrestling and finds support in an outlaw who becomes both mentor and friend. Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern, Shia LaBeouf, Tyler Nilson, Tyler Nilson.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Rotana.Khalijia.ae,Rotana Khalijia,96,85.0,100.0,Vein Tear,"A mysterious murder occurs in a fictional village called Al-Mafraq, near Damascus. The investigation into the crime and the search for the perpetrator begin among members of two families living in the village, and are linked by complex social problems. Bassem Yakhour, Salloum Haddad, Shoukran Mortaja, Safaa Sultaan, Anas Tayra, Tamer Isaac, Said Henawi, Mahmoud Edris, Basem Yakhour.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Rotana.Cinema.KSA.ae,Rotana Cinema KSA,45,85.0,100.0,The Little Ghosts,"The famous singer Amr Diab meets the little talented girl Belia, but he discovers that she is kidnapped by a gang, who uses her and other kids for theft and drug dealing. Madiha Kamel, Amr Diab, Hadeel, Naiema Elsoghair, Hamdy Al Wazeer, Majda Khair Allah, Hossam Al Din Mostafa.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Rotana.Cinema.Egypt.ae,Rotana Cinema Egypt,46,86.0,100.0,Qarmat In Trouble,"Alqarmoty faces a lot of trouble with the Ministry of Tourism after turning his family's cemetery into a tourist attraction. In the meantime, he tries to escape from a gang after accidentally discovering the truth behind their crimes. Ahmed Adam, Mai Selem, Dina Fouaad, Maher Essam, Waleed Fawaz, Asd Foladkar, Amin Jamal, Mohamed Mehrez, Mai Seleem, Dina Fouad, Amin Gamal, Mai Selim, Maher Esam, Waleed Fawwaz, Asad Foladkar.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Rotana.Classic.ae,Rotana Classic,40,86.0,100.0,Ismail Yasin In The Police,"Zaki joins the police force, but his mother-in-law doesn't like it and wants her daughter to marry someone else. Therefore, she tries to break them up. Zahrat Al Oula, Ismail Yassine, Roshdy Abaza, Reiad Al Qasabgy, Zinat SedqI, Fatin Abd Alwahab, Fatin Abd Alwahab, Alsaid Bedir, Zinat Sedqi, Zinaat Sedqi, Fatin Abd Alwahhab, Fatin Abd Alwahhab, Al Sayed Bedir, Riyad Al Qasabgy, Al Sayyed Bedir, Fateen Abd Alwahhab, Fateen Abd Alwahhab, Fatin Abd Al-Wahab, Fatin Abd Al-Wahab, Ismail Yassin, Zahrat Al Ola, Ismail Yasin.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Rotana.Drama.ae,Rotana Drama,86,85.0,100.0,September Breezes,"Roula returns to her home in a rural Syrian village, where her grandmother, Umm Fawaz, still lives. Unexpected events force her to stay longer than she thought, and her life converges with youth and the elderly in her village. Sabah Al Jazaaery, Muhammad Hadaki, Leen Gherra, Yazan Al Rishani, Asema Yousef, Ali Stouf, Karam Shanan, Waddah Halloum, Wael Zeidan, Ibrahim Al Sheikh, Rana Gamol, Hussain Abbas, Ghizoan Al Safdy, Sawsan Abu Afar, Darwish Abdel Hadi, Rawad Alio, Rasha Sharbtgy, Yazan Hisham Sharbatji, Ali Alsaleh, Nadine Tahseeine bek, Mhamad Hdakki, Ghazwan Al Safadi, Rasha Hisham Shurbatji, Ali Moeen Saleh, Sabah Jazairi, Mohamed Hdakki, Nadeen Tahseen baik.",https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
