country,name,id,provider,source,future_programmes,future_hours,desc_pct,sample_title,sample_desc,title_source,desc_source,title_desc_policy,language_audit,alternatives,alternative_sources,merged_alternatives,url,integration_status
UAE,MBC4.ae,MBC4.ae,openepg,uae6,70,44.8,100.0,للموت موسم 3 حلقة 20,تختبر صداقة ريم وسحر بسبب لؤي. تستعيد كارما ثقتها بالثنائي. يدفع أديب وحاتم ثمن تآمرهما على كارما.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/uae6.xml,VALIDATED_MISSING
Egypt,National Geographic.eg,National Geographic.eg,openepg,egypt2,7,4.9,0.0,برنامج لغز اختفاء المفقودين,,,,NO_EN_TITLE_MATCH,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/egypt2.xml,VALIDATED_MISSING
Egypt,Nessma.eg,Nessma.eg,openepg,egypt2,51,40.9,31.4,برنامج البازار,,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/egypt2.xml,VALIDATED_MISSING
,Star Action.sa,Star Action.sa,openepg,saudiarabia1,24,37.9,100.0,Blowback,عندما يتعرض اللص الرئيسي للخيانة من طاقمه وباقي المجموعة، ويُترك ليموت، يُقسم على الانتقام من أعدائه ويبدأ السباق لاستعادة ثروته، قبل أن تقبض الشرطة أو رأس الإجرام، عليه.,openepg:egypt2:Star Action.eg,openepg:saudiarabia1:Star Action.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:egypt2:Star Action.eg,https://www.open-epg.com/files/saudiarabia1.xml,VALIDATED_MISSING
,Star Movies HD.sa,Star Movies HD.sa,openepg,saudiarabia1,21,38.3,100.0,Someday This Pain Will Be Useful to You,ويروي قصة مضحكة ومشحونة بالعواطف الجياشة لمراهق مشوش التفكير من نيويورك وعائلته الحنونة غريبة الأطوار. إذ يتسبب إصراره ورباطة جأشه إلى إرتكابه بعض الأخطاء التي يصعب تصحيحها.,openepg:egypt2:Star Movies.eg,openepg:saudiarabia1:Star Movies HD.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:egypt2:Star Movies.eg,https://www.open-epg.com/files/saudiarabia1.xml,VALIDATED_MISSING
,Star World HD.sa,Star World HD.sa,openepg,saudiarabia1,49,38.3,100.0,Extreme Makeover: Home Edition:The Elrod Family,يساعد الفريقُ عائلةً مستحقة في هيوستن فقدت منزلها وجدتها المحبوبة وقطتها في حريق مروّع.,openepg:saudiarabia2:Star World HD.sa,openepg:saudiarabia1:Star World HD.sa,EN_TITLE_AR_DESC_PAIRED,ARABIC_SELECTED,,,openepg:egypt2:Star World.eg,https://www.open-epg.com/files/saudiarabia1.xml,VALIDATED_MISSING
Saudi Arabia,Ten.sa,Ten.sa,openepg,saudiarabia1,39,38.9,100.0,TeN,قناة TeN عامة مصرية تقدم قوالب برامجية مختلفة ومتنوعة، تجمع بين الحوار والرأي والخبر.,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,1,openepg:saudiarabia2:Ten.sa,openepg:egypt2:TeN TV.eg,https://www.open-epg.com/files/saudiarabia1.xml,VALIDATED_MISSING
Egypt,Thikrayat Tv.eg,Thikrayat Tv.eg,openepg,egypt2,51,40.4,58.8,خطي سلمان,,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/egypt2.xml,VALIDATED_MISSING
Egypt,Utv.eg,Utv.eg,openepg,egypt2,45,40.9,37.8,برنامج مساؤكم,,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,0,,,https://www.open-epg.com/files/egypt2.xml,VALIDATED_MISSING
,العربية Business.ae,العربية Business.ae,openepg,uae6,5,44.7,100.0,فتح السوق,فتح السوق,,,NATIVE_TITLE_POLICY,ARABIC_SELECTED,,,openepg:saudiarabia1:Al Arabiya Business.sa,https://www.open-epg.com/files/uae6.xml,VALIDATED_MISSING
